timestamp,tweet_text
2020-11-23 22:23:21,"b""Ronaldo doesn't receive special treatment - Pirlo  The @juventusfcen doesn\xe2\x80\x99t think @Cristiano get special treatment, but what does everyone else think?  WATCH: \xe2\x9e\xa1\xef\xb8\x8f https://t.co/tKrBF50tdO https://t.co/lhkMw74Qy4""",b'SportsHubVideo',[],242
2020-11-23 22:19:42,b'me: is being bullied  cristiano ronaldo: dont worry my baby. i am a billionaire. i have the best lawyers in the world. i will sue all of your bullies. authorities will be involved. fear not my dearest child. i will help you.',b'ITQRIN',[],220
2020-11-23 22:16:57,b'@IFTVofficial @Cristiano @RomeluLukaku9 Ronaldo never gets any older. Daamn \xf0\x9f\x94\xa5',b'SProhf',[],279
2020-11-23 22:15:00,b'Cristiano Ronaldo is currently averaging 1.53 goals per 90 minutes in all competitions! #ForzaJuve',b'OldjuveFS',['ForzaJuve'],20
2020-11-23 22:14:40,b'\xe2\x9a\xa1The media reported that world football star Cristiano Ronaldo may leave Juventus at the end of his contract. Perhaps the Portuguese will want to play in the United States? \xf0\x9f\x98\x8d\xf0\x9f\x9a\x80\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/rpDF5grgCF',b'mlsfcmiami',[],1724
2020-11-23 22:11:37,"b""@6xbaby1 @Jordantolley91 @btsportfootball Don't talk mince https://t.co/DMvnIzwvzI""",b'celticfitba',[],501
2020-11-23 22:03:16,b'Staying focused on the team: @FCBayernUS star @lewy_official remains humble as more people realize just how great he has been. \xf0\x9f\x91\x80 https://t.co/J77i7LwYOo',b'TheBarrelBlog',[],317
2020-11-23 22:02:26,"b""@SexyBeast90000 @coolkidlefy @jeshvs That's Cristiano Ronaldo. Pro football (soccer) player.""",b'ProdKirk',[],167
2020-11-23 22:01:02,b'Cristiano Ronaldo set to be named Juventus captain for first time against Cagliari - FM104 https://t.co/LdeXwTcjKr',b'juve_id',[],179
2020-11-23 22:00:09,b'Staying focused on the team: @FCBayernUS star @lewy_official remains humble as more people realize just how great he has been. https://t.co/tJkqMPTUMY',b'BavarianFBWorks',[],10890
2020-11-23 21:58:48,"b""Cristiano Ronaldo has ranked higher than Lionel Messi in Balon D'or rankings 8 times (2006, 2007, 2008, 2013, 2014, 2016, 2017, 2018)  Meanwhile Messi has ranked higher than Ronaldo 6 times (2009, 2010, 2011, 2012, 2015, 2019)  Ronaldo 8 - 6 Messi https://t.co/Gn7thva4R8 https://t.co/hyATe4KtMW""",b'Up_TheBolton',[],212
2020-11-23 21:57:41,b'@Santea__ Bet you\xe2\x80\x99ve done Cristiano Ronaldo stance after a shot huh \xf0\x9f\x98\x8f',b'romancampaa',[],138
2020-11-23 21:57:00,"b""Ronaldo's hotel will have 11 floors, 150+ rooms and a rooftop terrace #CR7 #MUFC https://t.co/HsQoDumoeF""",b'MirrorFootball',"['CR7', 'MUFC']",614426
2020-11-23 21:56:45,b'cristiano ronaldo would never treat me like this btw\xf0\x9f\x99\x81',b'ITQRIN',[],220
2020-11-23 21:55:19,b'Cristiano Ronaldo saved his brother from Alcoholism and Drug Abuse by winning the Champions league.  See comment\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82https://t.co/YHC1qAuQ9o https://t.co/dyZa2Xzc3z',b'mrkwakuofficial',[],550
2020-11-23 21:53:06,"b'@xtinap1 @martinio98 @ErlingHaaland Hope this happens one-day ! Then it will another big thing in Football.  Once Pepe and Cristiano Ronaldo are there from Portugal \xf0\x9f\x87\xb5\xf0\x9f\x87\xb9  The after, Haaland and Odegard will be there from Norway\xf0\x9f\x87\xb3\xf0\x9f\x87\xb4 doing similar things like CR7 and Pepe did.'",b'Haalandology',[],90
2020-11-23 21:48:55,b'Cristiano Ronaldo - Fighting Till the End III https://t.co/ExumrO8REX via @YouTube',b'20Legend_Ole',[],202
2020-11-23 21:46:05,b'Watch Cristiano Ronaldo fans hate this kid https://t.co/SW1BQaU1sy',b'The_Real_Uchman',[],167
2020-11-23 21:37:28,b'Sergio Ramos rubbishes speculation of a rift with Real Madrid team-mate Cristiano\xc2\xa0Ronaldo https://t.co/cRK1QYDjFf',b'NgospelMedia',[],290
2020-11-23 21:33:50,"b""@munacorleone @MnqobieW @SelecaoTalk still doesn't matter, at same age Ronaldo had 197 dribbles completed, and Ilicic still has more than half the season to go and he's at 220 total in same period of time.   So it will probably end up around 250 for him vs 197 for Cristiano at same age""",b'Furymaker',[],123
2020-11-23 21:33:37,"b'@SportsCenter LeBron James-fans, Cristiano Ronaldo-fans, Lionel Messi-fans, Liverpool FC-fans, Real Madrid-fans, Barcelona-fans and Dallas Cowboys.'",b'Ezekiel1023',[],14
2020-11-23 21:24:54,b'@Tokitah_ @McgregorsHoe @TiramisuDaniel Masvidal and Leon had circumstances in the lead up. Colby beat old man Robbie coming off getting robbed vs Askren. Usman obviously finished Colby in their fight. Usman has the better record but Colby is elite too. And pfp is Cristiano Ronaldo you uncultured swine',b'smarkweeb',[],38
2020-11-23 21:22:08,b'@adewilliams9 Arsenal thought they got Brazilian Cristiano Ronaldo',b'BrodaSeun',[],14482
